symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AMZN,2026-07-03,2026-07-17,350.0,C,0.0,0.01,0.005,56.2504,0.000564,7.4e-05,-0.00191,0.000944,14,242.67,2,6076,
AMZN,2026-07-03,2026-07-17,355.0,C,0.0,0.01,0.005,57.8129,0.0005,6.5e-05,-0.001754,0.000844,14,242.67,28,251,
AMZN,2026-07-03,2026-07-17,360.0,C,0.0,0.01,0.005,59.3754,0.000448,5.7e-05,-0.001628,0.000763,14,242.67,7,1790,
AMZN,2026-07-03,2026-07-17,370.0,C,0.0,0.06,0.03,73.4378,0.002179,0.000196,-0.008593,0.003257,14,242.67,9,2677,
AMZN,2026-07-03,2026-07-17,375.0,C,0.0,0.01,0.005,65.6253,0.000465,5.3e-05,-0.001861,0.000789,14,242.67,20,426,
AMZN,2026-07-03,2026-07-17,380.0,C,0.0,0.01,0.005,67.1878,0.000432,4.9e-05,-0.001778,0.000737,14,242.67,204,3467,
AMZN,2026-07-03,2026-07-17,115.0,P,0.0,0.01,0.005,112.5004,-0.000228,1.6e-05,-0.001627,0.000406,14,242.67,1,1959,
AMZN,2026-07-03,2026-07-17,120.0,P,0.0,0.01,0.005,106.2505,-0.000237,1.8e-05,-0.001596,0.000422,14,242.67,1,478,
AMZN,2026-07-03,2026-07-17,125.0,P,0.0,0.04,0.02,112.5004,-0.000882,5.6e-05,-0.005704,0.001425,14,242.67,2,362,
AMZN,2026-07-03,2026-07-17,130.0,P,0.0,0.09,0.045,114.4536,-0.001849,0.000109,-0.011419,0.002805,14,242.67,10,339,
AMZN,2026-07-03,2026-07-17,135.0,P,0.01,0.02,0.015,96.875,-0.000704,5.3e-05,-0.003989,0.001158,14,242.67,1,1043,
AMZN,2026-07-03,2026-07-17,140.0,P,0.0,0.08,0.04,100.7817,-0.00191,0.000127,-0.010353,0.00289,14,242.67,4,538,
AMZN,2026-07-03,2026-07-17,145.0,P,0.01,0.02,0.015,85.9376,-0.00081,6.8e-05,-0.004027,0.001319,14,242.67,1,828,
AMZN,2026-07-03,2026-07-17,150.0,P,0.01,0.04,0.025,84.7658,-0.001398,0.000114,-0.006549,0.002175,14,242.67,46,2369,
AMZN,2026-07-03,2026-07-17,155.0,P,0.0,0.1,0.05,85.1564,-0.00272,0.000207,-0.012038,0.003981,14,242.67,2,1189,
AMZN,2026-07-03,2026-07-17,160.0,P,0.02,0.06,0.04,77.7346,-0.002391,0.000202,-0.009775,0.003543,14,242.67,6,5265,
AMZN,2026-07-03,2026-07-17,165.0,P,0.01,0.1,0.055,75.0003,-0.003372,0.000285,-0.012853,0.00483,14,242.67,28,3070,
AMZN,2026-07-03,2026-07-17,170.0,P,0.02,0.04,0.03,65.6253,-0.002225,0.000224,-0.007724,0.00332,14,242.67,1,2767,
AMZN,2026-07-03,2026-07-17,175.0,P,0.02,0.05,0.035,61.3285,-0.002607,0.000277,-0.008324,0.00383,14,242.67,7,3148,
AMZN,2026-07-03,2026-07-17,180.0,P,0.05,0.08,0.065,60.7426,-0.004904,0.000492,-0.014528,0.006754,14,242.67,2,4373,
AMZN,2026-07-03,2026-07-17,185.0,P,0.02,0.14,0.08,57.227,-0.006394,0.000661,-0.017311,0.008549,14,242.67,29,3432,
